price,sold,Free_Shipping,Paid_Shipping
48.66,3,1,0.0
198.13,1,1,0.0
177.94,0,1,0.0
53.45,5,0,36.4
263.35,0,1,0.0
23.77,1,0,86.91
94.19,0,1,0.0
142.88,1,1,0.0
62.31,26,1,0.0
109.8,1,1,0.0
221.46,0,1,0.0
289.61,11,1,0.0
166.58,1,1,0.0
146.97,27,1,0.0
278.18,0,1,0.0
342.28,7,1,0.0
872.74,2,1,0.0
181.75,19,1,0.0
290.59,8,1,0.0
160.87,14,1,0.0
154.65,6,1,0.0
461.08,1,1,0.0
409.5,0,1,0.0
506.52,14,1,0.0
209.88,1,1,0.0
611.77,0,1,0.0
210.76,2,1,0.0
109.89,12,1,0.0
57.15,118,0,225.12
137.27,0,1,0.0
57.2,12,1,0.0
156.46,4,1,0.0
112.57,1,1,0.0
236.04,0,1,0.0
4.39,3,1,0.0
128.3,1,1,0.0
70.87,21,1,0.0
104.08,0,1,0.0
673.94,17,1,0.0
396.67,12,1,0.0
74.32,15,1,0.0
285.5,1,1,0.0
93.51,1,1,0.0
185.48,4,1,0.0
22.93,7,1,0.0
336.61,0,1,0.0
177.77,3,1,0.0
27.17,31,1,0.0
152.8,1,1,0.0
189.17,0,1,0.0
884.59,8,1,0.0
488.66,2,1,0.0
366.6,0,1,0.0
805.08,2,1,0.0
801.16,6,1,0.0
145.87,1,1,0.0
276.58,8,1,0.0
138.08,0,1,0.0
208.13,16,1,0.0
388.18,23,1,0.0
162.46,6,1,0.0
81.15,0,1,0.0
23.37,10,1,0.0
152.0,0,1,0.0
57.38,41,1,0.0
105.17,0,1,0.0
534.25,2,1,0.0
146.07,1,1,0.0
112.81,8,1,0.0
627.32,1,1,0.0
493.47,4,1,0.0
80.1,77,1,0.0
268.74,6,1,0.0
470.5,0,1,0.0
456.41,2,1,0.0
263.87,1,1,0.0
955.17,6,1,0.0
199.15,0,1,0.0
78.65,3,1,0.0
31.22,9,1,0.0
73.91,4,1,0.0
619.37,0,1,0.0
357.43,2,1,0.0
157.05,5,1,0.0
170.58,7,1,0.0
73.16,0,1,0.0
474.29,3,1,0.0
381.93,3,1,0.0
164.24,2,1,0.0
80.26,0,1,0.0
182.76,4,1,0.0
31.17,20,0,7.8
1052.29,1,1,0.0
608.31,0,1,0.0
53.4,21,1,0.0
42.47,1,0,29.52
14.52,8,1,0.0
185.35,0,1,0.0
267.19,2,1,0.0
208.46,9,1,0.0
119.49,1,1,0.0
116.94,5,1,0.0
9.57,27,1,0.0
122.2,10,1,0.0
78.87,2,1,0.0
294.46,1,1,0.0
22.24,7,0,38.07
538.08,2,1,0.0
91.74,30,1,0.0
707.04,1,1,0.0
366.6,4,1,0.0
21.92,19,1,0.0
105.22,1,1,0.0
131.04,0,1,0.0
369.25,1,1,0.0
34.68,79,1,0.0
217.19,17,1,0.0
227.47,0,1,0.0
57.09,11,1,0.0
33.88,0,0,104.89
228.12,5,1,0.0
63.97,0,1,0.0
35.32,22,1,0.0
151.31,26,1,0.0
301.22,1,1,0.0
35.19,28,1,0.0
241.04,4,1,0.0
8.25,256,1,0.0
94.76,8,1,0.0
335.99,2,1,0.0
11.37,5,1,0.0
491.34,0,1,0.0
42.77,12,1,0.0
273.97,7,1,0.0
102.1,7,1,0.0
241.51,0,1,0.0
44.68,2,0,239.64
125.54,5,1,0.0
36.77,14,1,0.0
58.1,0,1,0.0
50.76,3,1,0.0
493.67,4,1,0.0
144.84,2,1,0.0
805.08,0,1,0.0
361.31,0,1,0.0
12.12,6,1,0.0
103.5,2,1,0.0
282.53,0,1,0.0
302.44,1,1,0.0
320.04,3,1,0.0
242.08,21,1,0.0
202.49,0,1,0.0
32.81,7,1,0.0
25.1,38,1,0.0
133.87,3,1,0.0
43.2,0,1,0.0
357.43,1,1,0.0
17.71,392,1,0.0
195.95,21,1,0.0
68.72,1,1,0.0
14.98,251,1,0.0
27.5,34,0,41.19
109.56,12,1,0.0
137.01,0,1,0.0
237.36,3,1,0.0
45.78,8,1,0.0
509.9,2,1,0.0
159.13,6,1,0.0
10.29,68,1,0.0
191.75,4,1,0.0
6.07,11,0,18.44
117.09,0,1,0.0
43.31,57,1,0.0
547.07,0,1,0.0
148.1,6,1,0.0
313.66,0,1,0.0
384.93,2,1,0.0
145.62,9,1,0.0
7.08,7,0,80.21
128.13,0,1,0.0
155.79,11,1,0.0
222.43,8,1,0.0
12.04,8,0,5.09
91.27,0,1,0.0
14.86,2,1,0.0
136.18,2,1,0.0
198.74,7,1,0.0
78.44,0,1,0.0
94.55,24,1,0.0
60.39,4,1,0.0
41.66,15,1,0.0
57.32,1,1,0.0
52.85,0,1,0.0
673.43,5,1,0.0
13.8,115,1,0.0
80.39,0,1,0.0
186.66,7,1,0.0
80.06,5,1,0.0
559.48,1,1,0.0
176.66,0,1,0.0
39.58,19,1,0.0
303.76,1,1,0.0
14.38,14,0,5.09
225.27,0,1,0.0
15.4,700,1,0.0
57.46,44,1,0.0
13.55,8,1,0.0
193.21,0,1,0.0
29.67,332,1,0.0
148.46,4,1,0.0
155.24,2,0,110.64
57.14,0,1,0.0
1529.58,5,1,0.0
11.18,16,1,0.0
22.82,5,1,0.0
501.86,0,1,0.0
566.39,1,1,0.0
28.05,8,0,64.01
29.03,19,1,0.0
160.41,0,1,0.0
22.37,11,1,0.0
24.07,135,1,0.0
34.02,56,1,0.0
206.97,1,1,0.0
29.34,28,1,0.0
343.13,7,1,0.0
8.31,2,1,0.0
105.55,1,1,0.0
37.89,16,1,0.0
26.95,2,0,150.28
7.95,57,1,0.0
398.3,0,1,0.0
34.2,35,0,129.03
44.69,23,0,52.63
18.91,60,1,0.0
56.86,0,1,0.0
11.69,33,0,5.09
45.94,53,0,76.6
25.27,147,1,0.0
69.03,0,1,0.0
79.98,6,0,210.53
86.73,4,1,0.0
13.8,52,0,64.56
63.0,0,1,0.0
11.47,9,0,120.25
94.9,23,1,0.0
35.84,58,1,0.0
180.96,0,1,0.0
55.23,18,0,5.39
34.41,25,1,0.0
16.45,171,1,0.0
121.39,0,1,0.0
15.24,40,1,0.0
8.35,44,1,0.0
207.36,4,1,0.0
16.17,46,1,0.0
27.96,40,0,5.09
31.24,29,1,0.0
232.42,0,1,0.0
33.85,21,0,4.74
13.61,37,0,5.09
18.37,6,1,0.0
184.07,1,1,0.0
31.38,31,0,5.09
118.53,19,1,0.0
103.38,6,0,258.18
292.92,0,1,0.0
14.79,41,1,0.0
99.22,0,1,0.0
104.34,0,1,0.0
129.95,0,1,0.0
171.08,0,1,0.0
248.08,0,1,0.0
141.53,0,1,0.0
38.23,0,1,0.0
44.61,0,1,0.0
1068.5,0,1,0.0
68.8,0,1,0.0
119.78,0,1,0.0
156.35,0,1,0.0
112.04,0,1,0.0
51.3,0,1,0.0
169.56,0,1,0.0
41.42,0,1,0.0
54.66,0,1,0.0
86.94,0,1,0.0
228.06,0,1,0.0
843.86,0,1,0.0
136.02,0,1,0.0
1301.71,0,1,0.0
110.84,0,1,0.0
122.35,0,1,0.0
691.82,0,1,0.0
357.72,0,1,0.0
56.44,0,1,0.0
48.1,0,1,0.0
119.73,0,1,0.0
55.86,0,1,0.0
185.2,1,1,0.0
375.38,1,1,0.0
421.21,1,1,0.0
195.89,0,1,0.0
268.84,0,1,0.0
181.94,0,1,0.0
33.92,0,1,0.0
123.89,3,1,0.0
0.99,7,1,0.0
254.28,0,1,0.0
121.94,0,1,0.0
74.51,0,1,0.0
329.84,0,1,0.0
51.92,0,1,0.0
72.6,0,1,0.0
51.16,0,1,0.0
73.74,0,1,0.0
45.65,1,0,72.79
75.25,0,1,0.0
147.92,0,1,0.0
141.05,1,1,0.0
90.03,9,1,0.0
540.91,0,1,0.0
84.33,0,1,0.0
266.69,0,1,0.0
161.59,2,1,0.0
125.55,0,1,0.0
33.18,64,1,0.0
20.39,49,1,0.0
18.23,45,1,0.0
312.9,0,1,0.0
87.83,0,1,0.0
196.09,0,1,0.0
571.49,3,1,0.0
33.35,12,1,0.0
109.69,2,1,0.0
206.12,5,1,0.0
88.64,0,1,0.0
260.34,0,1,0.0
461.3,0,1,0.0
133.38,0,1,0.0
109.78,0,1,0.0
47.07,0,1,0.0
549.07,0,1,0.0
85.58,0,1,0.0
74.54,2,1,0.0
114.08,0,1,0.0
122.36,0,1,0.0
125.41,1,1,0.0
377.99,8,1,0.0
648.93,1,1,0.0
925.33,1,1,0.0
499.63,10,1,0.0
686.65,4,1,0.0
89.38,0,1,0.0
182.76,3,1,0.0
288.38,0,1,0.0
174.44,5,1,0.0
392.16,0,1,0.0
239.85,0,1,0.0
161.65,0,1,0.0
253.15,0,1,0.0
193.13,0,1,0.0
203.08,2,1,0.0
162.46,2,1,0.0
2876.38,0,1,0.0
290.55,1,1,0.0
452.07,0,1,0.0
111.68,1,1,0.0
235.31,0,1,0.0
186.94,1,1,0.0
198.69,0,1,0.0
155.98,0,1,0.0
443.05,0,1,0.0
336.99,1,1,0.0
21.43,31,1,0.0
42.93,13,1,0.0
117.1,1,1,0.0
148.24,29,1,0.0
26.32,7,1,0.0
23.37,9,1,0.0
1274.15,25,1,0.0
26.38,95,0,5.09
